,Sales,Date,Region
0,1635.0,2019-06-11,north
1,1563.0,2019-06-11,south
2,1785.0,2019-06-11,east
3,1521.0,2019-06-11,west
4,1728.0,2019-06-12,north
5,1515.0,2019-06-12,south
6,1548.0,2019-06-12,east
7,1677.0,2019-06-12,west
8,1587.0,2019-06-13,north
9,1719.0,2019-06-13,south
10,1587.0,2019-06-13,east
11,1773.0,2019-06-13,west
12,1557.0,2019-06-14,north
13,1680.0,2019-06-14,south
14,1773.0,2019-06-14,east
15,1509.0,2019-06-14,west
16,1602.0,2019-06-15,north
17,1794.0,2019-06-15,south
18,1764.0,2019-06-15,east
19,1785.0,2019-06-15,west
20,1662.0,2019-06-16,north
21,1563.0,2019-06-16,south
22,1671.0,2019-06-16,east
23,1533.0,2019-06-16,west
24,1587.0,2019-06-17,north
25,1512.0,2019-06-17,south
26,1536.0,2019-06-17,east
27,1566.0,2019-06-17,west
28,1767.0,2019-06-18,north
29,1614.0,2019-06-18,south
30,1776.0,2019-06-18,east
31,1728.0,2019-06-18,west
32,1614.0,2019-06-19,north
33,1572.0,2019-06-19,south
34,1614.0,2019-06-19,east
35,1734.0,2019-06-19,west
36,1566.0,2019-06-20,north
37,1632.0,2019-06-20,south
38,1785.0,2019-06-20,east
39,1770.0,2019-06-20,west
40,1725.0,2019-06-21,north
41,1542.0,2019-06-21,south
42,1677.0,2019-06-21,east
43,1533.0,2019-06-21,west
44,1578.0,2019-06-22,north
45,1713.0,2019-06-22,south
46,1776.0,2019-06-22,east
47,1515.0,2019-06-22,west
48,1587.0,2019-06-23,north
49,1770.0,2019-06-23,south
50,1773.0,2019-06-23,east
51,1671.0,2019-06-23,west
52,1704.0,2019-06-24,north
53,1545.0,2019-06-24,south
54,1671.0,2019-06-24,east
55,1800.0,2019-06-24,west
56,1611.0,2019-06-25,north
57,1797.0,2019-06-25,south
58,1623.0,2019-06-25,east
59,1776.0,2019-06-25,west
60,1677.0,2019-06-26,north
61,1800.0,2019-06-26,south
62,1794.0,2019-06-26,east
63,1686.0,2019-06-26,west
64,1671.0,2019-06-27,north
65,1635.0,2019-06-27,south
66,1740.0,2019-06-27,east
67,1671.0,2019-06-27,west
68,1671.0,2019-06-28,north
69,1770.0,2019-06-28,south
70,1773.0,2019-06-28,east
71,1581.0,2019-06-28,west
72,1533.0,2019-06-29,north
73,1650.0,2019-06-29,south
74,1536.0,2019-06-29,east
75,1548.0,2019-06-29,west
76,1785.0,2019-06-30,north
77,1614.0,2019-06-30,south
78,1569.0,2019-06-30,east
79,1800.0,2019-06-30,west
80,1644.0,2019-07-01,north
81,1659.0,2019-07-01,south
82,1659.0,2019-07-01,east
83,1644.0,2019-07-01,west
84,1656.0,2019-07-02,north
85,1566.0,2019-07-02,south
86,1686.0,2019-07-02,east
87,1677.0,2019-07-02,west
88,1770.0,2019-07-03,north
89,1689.0,2019-07-03,south
90,1704.0,2019-07-03,east
91,1800.0,2019-07-03,west
92,1782.0,2019-07-04,north
93,1746.0,2019-07-04,south
94,1527.0,2019-07-04,east
95,1581.0,2019-07-04,west
96,1518.0,2019-07-05,north
97,1554.0,2019-07-05,south
98,1548.0,2019-07-05,east
99,1533.0,2019-07-05,west
100,1791.0,2019-07-06,north
101,1578.0,2019-07-06,south
102,1779.0,2019-07-06,east
103,1704.0,2019-07-06,west
104,1587.0,2019-07-07,north
105,1593.0,2019-07-07,south
106,1644.0,2019-07-07,east
107,1680.0,2019-07-07,west
108,1614.0,2019-07-08,north
109,1704.0,2019-07-08,south
110,1797.0,2019-07-08,east
111,1770.0,2019-07-08,west
112,1605.0,2019-07-09,north
113,1686.0,2019-07-09,south
114,1794.0,2019-07-09,east
115,1713.0,2019-07-09,west
116,1755.0,2019-07-10,north
117,1500.0,2019-07-10,south
118,1632.0,2019-07-10,east
119,1800.0,2019-07-10,west
120,1800.0,2019-07-11,north
121,1650.0,2019-07-11,south
122,1704.0,2019-07-11,east
123,1590.0,2019-07-11,west
124,1779.0,2019-07-12,north
125,1554.0,2019-07-12,south
126,1635.0,2019-07-12,east
127,1608.0,2019-07-12,west
128,1791.0,2019-07-13,north
129,1779.0,2019-07-13,south
130,1527.0,2019-07-13,east
131,1689.0,2019-07-13,west
132,1782.0,2019-07-14,north
133,1662.0,2019-07-14,south
134,1620.0,2019-07-14,east
135,1692.0,2019-07-14,west
136,1551.0,2019-07-15,north
137,1620.0,2019-07-15,south
138,1725.0,2019-07-15,east
139,1602.0,2019-07-15,west
140,1518.0,2019-07-16,north
141,1761.0,2019-07-16,south
142,1539.0,2019-07-16,east
143,1614.0,2019-07-16,west
144,1548.0,2019-07-17,north
145,1551.0,2019-07-17,south
146,1722.0,2019-07-17,east
147,1662.0,2019-07-17,west
148,1509.0,2019-07-18,north
149,1773.0,2019-07-18,south
150,1767.0,2019-07-18,east
151,1581.0,2019-07-18,west
152,1626.0,2019-07-19,north
153,1734.0,2019-07-19,south
154,1761.0,2019-07-19,east
155,1659.0,2019-07-19,west
156,1638.0,2019-07-20,north
157,1539.0,2019-07-20,south
158,1782.0,2019-07-20,east
159,1728.0,2019-07-20,west
160,1746.0,2019-07-21,north
161,1536.0,2019-07-21,south
162,1719.0,2019-07-21,east
163,1773.0,2019-07-21,west
164,1611.0,2019-07-22,north
165,1665.0,2019-07-22,south
166,1506.0,2019-07-22,east
167,1746.0,2019-07-22,west
168,1770.0,2019-07-23,north
169,1734.0,2019-07-23,south
170,1707.0,2019-07-23,east
171,1620.0,2019-07-23,west
172,1569.0,2019-07-24,north
173,1656.0,2019-07-24,south
174,1617.0,2019-07-24,east
175,1638.0,2019-07-24,west
176,1701.0,2019-07-25,north
177,1713.0,2019-07-25,south
178,1557.0,2019-07-25,east
179,1725.0,2019-07-25,west
180,1605.0,2019-07-26,north
181,1770.0,2019-07-26,south
182,1557.0,2019-07-26,east
183,1755.0,2019-07-26,west
184,1737.0,2019-07-27,north
185,1785.0,2019-07-27,south
186,1545.0,2019-07-27,east
187,1560.0,2019-07-27,west
188,1509.0,2019-07-28,north
189,1761.0,2019-07-28,south
190,1551.0,2019-07-28,east
191,1683.0,2019-07-28,west
192,1644.0,2019-07-29,north
193,1608.0,2019-07-29,south
194,1719.0,2019-07-29,east
195,1794.0,2019-07-29,west
196,1764.0,2019-07-30,north
197,1512.0,2019-07-30,south
198,1701.0,2019-07-30,east
199,1797.0,2019-07-30,west
200,1734.0,2019-07-31,north
201,1791.0,2019-07-31,south
202,1761.0,2019-07-31,east
203,1587.0,2019-07-31,west
204,1596.0,2019-08-01,north
205,1542.0,2019-08-01,south
206,1710.0,2019-08-01,east
207,1701.0,2019-08-01,west
208,1647.0,2019-08-02,north
209,1524.0,2019-08-02,south
210,1782.0,2019-08-02,east
211,1716.0,2019-08-02,west
212,1752.0,2019-08-03,north
213,1686.0,2019-08-03,south
214,1764.0,2019-08-03,east
215,1755.0,2019-08-03,west
216,1578.0,2019-08-04,north
217,1539.0,2019-08-04,south
218,1743.0,2019-08-04,east
219,1596.0,2019-08-04,west
220,1506.0,2019-08-05,north
221,1527.0,2019-08-05,south
222,1626.0,2019-08-05,east
223,1530.0,2019-08-05,west
224,1521.0,2019-08-06,north
225,1713.0,2019-08-06,south
226,1761.0,2019-08-06,east
227,1557.0,2019-08-06,west
228,1584.0,2019-08-07,north
229,1764.0,2019-08-07,south
230,1623.0,2019-08-07,east
231,1776.0,2019-08-07,west
232,1749.0,2019-08-08,north
233,1707.0,2019-08-08,south
234,1629.0,2019-08-08,east
235,1773.0,2019-08-08,west
236,1758.0,2019-08-09,north
237,1671.0,2019-08-09,south
238,1659.0,2019-08-09,east
239,1641.0,2019-08-09,west
240,1596.0,2019-08-10,north
241,1626.0,2019-08-10,south
242,1557.0,2019-08-10,east
243,1695.0,2019-08-10,west
244,1659.0,2019-08-11,north
245,1680.0,2019-08-11,south
246,1683.0,2019-08-11,east
247,1692.0,2019-08-11,west
248,1569.0,2019-08-12,north
249,1740.0,2019-08-12,south
250,1650.0,2019-08-12,east
251,1569.0,2019-08-12,west
252,1701.0,2019-08-13,north
253,1677.0,2019-08-13,south
254,1533.0,2019-08-13,east
255,1587.0,2019-08-13,west
256,1713.0,2019-08-14,north
257,1611.0,2019-08-14,south
258,1524.0,2019-08-14,east
259,1725.0,2019-08-14,west
260,1761.0,2019-08-15,north
261,1569.0,2019-08-15,south
262,1668.0,2019-08-15,east
263,1563.0,2019-08-15,west
264,1734.0,2019-08-16,north
265,1524.0,2019-08-16,south
266,1731.0,2019-08-16,east
267,1665.0,2019-08-16,west
268,1710.0,2019-08-17,north
269,1509.0,2019-08-17,south
270,1539.0,2019-08-17,east
271,1533.0,2019-08-17,west
272,1785.0,2019-08-18,north
273,1665.0,2019-08-18,south
274,1722.0,2019-08-18,east
275,1659.0,2019-08-18,west
276,1791.0,2019-08-19,north
277,1680.0,2019-08-19,south
278,1542.0,2019-08-19,east
279,1701.0,2019-08-19,west
280,1671.0,2019-08-20,north
281,1656.0,2019-08-20,south
282,1536.0,2019-08-20,east
283,1800.0,2019-08-20,west
284,1605.0,2019-08-21,north
285,1671.0,2019-08-21,south
286,1590.0,2019-08-21,east
287,1545.0,2019-08-21,west
288,1500.0,2019-08-22,north
289,1779.0,2019-08-22,south
290,1656.0,2019-08-22,east
291,1731.0,2019-08-22,west
292,1614.0,2019-08-23,north
293,1782.0,2019-08-23,south
294,1629.0,2019-08-23,east
295,1635.0,2019-08-23,west
296,1548.0,2019-08-24,north
297,1776.0,2019-08-24,south
298,1743.0,2019-08-24,east
299,1737.0,2019-08-24,west
300,1644.0,2019-08-25,north
301,1626.0,2019-08-25,south
